  Qid,  Time,  Sent,  Recv,  Over,  Wait,  P_blk,   Arrv,   Serv,  Epblk,  Earrv,  Eserv
    0, 1.000000,    14,    14,     0,     0, 0.0000, 14.0000, 14.0000,    nan,    nan,    nan
    1, 1.000000,    14,    13,     0,     0, 0.0000, 14.0000, 13.0000,    nan,    nan,    nan
    0, 2.000000,    31,    29,     0,     0, 0.0000, 15.5000, 14.5000,    nan, 0.0000, -0.5000
    1, 2.000000,    31,    24,     0,     0, 0.0000, 15.5000, 12.0000,    nan, 0.0000, -0.5000
    0, 3.000000,    52,    40,     0,     0, 0.0000, 17.3333, 13.3333,    nan, -0.3333, -0.3333
    1, 3.000000,    52,    38,     0,     0, 0.0000, 17.3333, 12.6667,    nan, -0.3333, -0.3333
    0, 4.000000,    76,    54,     0,     0, 0.0000, 19.0000, 13.5000,    nan, 0.0000, -0.2500
    1, 4.000000,    76,    50,     0,     0, 0.0000, 19.0000, 12.5000,    nan, 0.0000, 0.0000
    0, 5.000000,    90,    64,     0,     0, 0.0000, 18.0000, 12.8000,    nan, 0.0000, -0.2000
    1, 5.000000,    91,    59,     0,     0, 0.0000, 18.2000, 11.8000,    nan, 0.0000, 0.0000
    0, 6.000000,   118,    71,     0,     0, 0.0000, 19.6667, 11.8333,    nan, -0.1667, -0.1667
    1, 6.000000,   118,    70,     0,     0, 0.0000, 19.6667, 11.6667,    nan, -0.1667, -0.1667
    0, 7.000000,   141,    80,     0,     0, 0.0000, 20.1429, 11.4286,    nan, 0.0000, -0.1429
    1, 7.000000,   141,    79,     0,     0, 0.0000, 20.1429, 11.2857,    nan, 0.0000, -0.1429
    0, 8.000000,   162,    91,     0,     0, 0.0000, 20.2500, 11.3750,    nan, 0.0000, 0.0000
    1, 8.000000,   162,    86,     0,     0, 0.0000, 20.2500, 10.7500,    nan, 0.0000, -0.1250
    0, 9.000000,   178,    98,     0,     0, 0.0000, 19.7778, 10.8889,    nan, 0.0000, -0.1111
    1, 9.000000,   178,    98,     0,     0, 0.0000, 19.7778, 10.8889,    nan, 0.0000, 0.0000
    0, 10.000000,   195,   104,     0,     0, 0.0000, 19.5000, 10.4000,    nan, 0.0000, 0.0000
    1, 10.000000,   195,   109,     0,     0, 0.0000, 19.5000, 10.9000,    nan, 0.0000, 0.0000
    0, 11.000000,   220,   115,     0,     0, 0.0000, 20.0000, 10.4545,    nan, 0.0000, 0.0000
    1, 11.000000,   220,   118,     0,     0, 0.0000, 20.0000, 10.7273,    nan, 0.0000, 0.0000
    0, 12.000000,   240,   123,     0,     0, 0.0000, 20.0000, 10.2500,    nan, 0.0000, 0.0000
    1, 12.000000,   240,   134,     0,     0, 0.0000, 20.0000, 11.1667,    nan, 0.0000, -0.0833
    0, 13.000000,   264,   137,     0,     0, 0.0000, 20.3077, 10.5385,    nan, 0.0000, 0.0000
    1, 13.000000,   264,   147,     0,     0, 0.0000, 20.3077, 11.3077,    nan, 0.0000, 0.0000
    0, 14.000000,   294,   149,     0,     0, 0.0000, 21.0000, 10.6429,    nan, 0.0000, 0.0000
    1, 14.000000,   294,   165,     0,     0, 0.0000, 21.0000, 11.7857,    nan, 0.0000, 0.0000
    0, 15.000000,   314,   162,     0,     0, 0.0000, 20.9333, 10.8000,    nan, 0.0000, 0.0000
    1, 15.000000,   314,   171,     0,     0, 0.0000, 20.9333, 11.4000,    nan, 0.0000, -0.0667
    0, 16.000000,   334,   172,     0,     0, 0.0000, 20.8750, 10.7500,    nan, 0.0000, 0.0000
    1, 16.000000,   334,   184,     0,     0, 0.0000, 20.8750, 11.5000,    nan, 0.0000, 0.0000
    0, 17.000000,   348,   184,     0,     0, 0.0000, 20.4706, 10.8235,    nan, 0.0000, 0.0000
    1, 17.000000,   348,   194,     0,     0, 0.0000, 20.4706, 11.4118,    nan, 0.0000, 0.0000
    0, 18.000000,   369,   193,     0,     0, 0.0000, 20.5000, 10.7222,    nan, 0.0000, 0.0000
    1, 18.000000,   369,   205,     0,     0, 0.0000, 20.5000, 11.3889,    nan, 0.0000, 0.0000
    0, 19.000000,   388,   197,     0,     0, 0.0000, 20.4211, 10.3684,    nan, 0.0000, -0.0526
    1, 19.000000,   388,   214,     0,     0, 0.0000, 20.4211, 11.2632,    nan, 0.0000, -0.0526
    0, 20.000000,   409,   212,     0,     0, 0.0000, 20.4500, 10.6000,    nan, 0.0000, 0.0000
    1, 20.000000,   409,   223,     0,     0, 0.0000, 20.4500, 11.1500,    nan, 0.0000, 0.0000
  Qid,  Time,  Sent,  Recv,  Over,  Wait,  P_blk,   Arrv,   Serv,  Epblk,  Earrv,  Eserv
    0, 21.000000,   435,   221,     0,     0, 0.0000, 20.7143, 10.5238,    nan, 0.0000, 0.0000
    1, 21.000000,   435,   236,     0,     0, 0.0000, 20.7143, 11.2381,    nan, 0.0000, 0.0000
    0, 22.000000,   454,   230,     0,     0, 0.0000, 20.6364, 10.4545,    nan, 0.0000, 0.0000
    1, 22.000000,   454,   238,     0,     0, 0.0000, 20.6364, 10.8182,    nan, 0.0000, -0.0455
    0, 23.000000,   472,   241,     0,     0, 0.0000, 20.5217, 10.4783,    nan, 0.0000, 0.0000
    1, 23.000000,   473,   250,     0,     0, 0.0000, 20.5652, 10.8696,    nan, 0.0000, 0.0000
    0, 24.000000,   497,   248,     0,     0, 0.0000, 20.7083, 10.3333,    nan, 0.0000, 0.0000
    1, 24.000000,   497,   259,     0,     0, 0.0000, 20.7083, 10.7917,    nan, 0.0000, 0.0000
    0, 25.000000,   512,   262,     0,     0, 0.0000, 20.4800, 10.4800,    nan, 0.0000, 0.0000
    1, 25.000000,   512,   266,     0,     0, 0.0000, 20.4800, 10.6400,    nan, 0.0000, 0.0000
    0, 26.000000,   532,   278,     0,     0, 0.0000, 20.4615, 10.6923,    nan, 0.0000, 0.0000
    1, 26.000000,   532,   279,     0,     0, 0.0000, 20.4615, 10.7308,    nan, 0.0000, 0.0000
    0, 27.000000,   557,   289,     0,     0, 0.0000, 20.6296, 10.7037,    nan, 0.0000, 0.0000
    1, 27.000000,   557,   292,     0,     0, 0.0000, 20.6296, 10.8148,    nan, 0.0000, 0.0000
    0, 28.000000,   581,   307,     0,     0, 0.0000, 20.7500, 10.9643,    nan, 0.0000, 0.0000
    1, 28.000000,   581,   304,     0,     0, 0.0000, 20.7500, 10.8571,    nan, 0.0000, 0.0000
    0, 29.000000,   598,   317,     0,     0, 0.0000, 20.6207, 10.9310,    nan, 0.0000, 0.0000
    1, 29.000000,   598,   312,     0,     0, 0.0000, 20.6207, 10.7586,    nan, 0.0000, 0.0000
    0, 30.000000,   612,   337,     0,     0, 0.0000, 20.4000, 11.2333,    nan, 0.0000, 0.0000
    1, 30.000000,   613,   321,     0,     0, 0.0000, 20.4333, 10.7000,    nan, 0.0000, 0.0000
    0, 31.000000,   635,   350,     0,     0, 0.0000, 20.4839, 11.2903,    nan, 0.0000, 0.0000
    1, 31.000000,   635,   336,     0,     0, 0.0000, 20.4839, 10.8387,    nan, 0.0000, 0.0000
    0, 32.000000,   649,   360,     0,     0, 0.0000, 20.2812, 11.2500,    nan, 0.0000, 0.0000
    1, 32.000000,   649,   350,     0,     0, 0.0000, 20.2812, 10.9375,    nan, 0.0000, 0.0000
    0, 33.000000,   664,   374,     0,     0, 0.0000, 20.1212, 11.3333,    nan, 0.0000, 0.0000
    1, 33.000000,   664,   356,     0,     0, 0.0000, 20.1212, 10.7879,    nan, 0.0000, 0.0000
    0, 34.000000,   682,   384,     0,     0, 0.0000, 20.0588, 11.2941,    nan, 0.0000, 0.0000
